# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	0.9.7
#@/tick	125272
#@/user_id	10b11703-f11b-4ced-93f3-8972fad5e0e5
a 	啊	c=1470 d=8.42141 t=125272
ai ya 	哎呀	c=17 d=0.816952 t=125272
ai yo 	哎喲	c=1 d=4.75274e-220 t=125272
ai you 	哎呦	c=12 d=4.65603e-36 t=125272
ai you 	矮油	c=1 d=1 t=124935
ai you ren 	哎有人	c=1 d=9.1846e-206 t=125272
ai zao bao 	愛早報	c=1 d=4.21742e-79 t=125272
ai ze la si 	艾澤拉斯	c=1 d=2.66139e-104 t=125272
an 	俺	c=3 d=0.000224504 t=125272
an 	安	c=37 d=4.5769e-12 t=125272
an 	按	c=32 d=7.08703e-09 t=125272
an 	暗	c=1 d=3.65378e-244 t=125272
an ban 	案板	c=0 d=0.1 t=124253
an ci 	按此	c=1 d=6.8282e-130 t=125272
an di 	安迪	c=1 d=4.91764e-92 t=125272
an di li 	暗地裏	c=1 d=0.0492917 t=125272
an fang 	安放	c=1 d=6.39672e-68 t=125272
an ge 	安格	c=0 d=3.43095e-240 t=125272
an jian 	安檢	c=1 d=1 t=123362
an jian 	按鍵	c=2 d=7.01412e-05 t=125272
an jie 	按揭	c=1 d=4.80602e-116 t=125272
an jin 	安進	c=1 d=2.56944e-249 t=125272
an jing 	安靜	c=8 d=5.58252e-12 t=125272
an lai 	安來	c=1 d=1.47574e-137 t=125272
an lian 	暗戀	c=2 d=6.2784e-113 t=125272
an lian wo 	暗戀我	c=1 d=1.25383e-161 t=125272
an lie 	闇劣	c=2 d=1.229e-161 t=125272
an me 	安麼	c=4 d=5.9724e-84 t=125272
an mo 	按摩	c=2 d=2.38109e-177 t=125272
an ni 	安妮	c=0 d=9.56423e-66 t=125272
an ni shi 	安妮是	c=1 d=9.61218e-65 t=125272
an niu 	按鈕	c=20 d=0.00105417 t=125272
an pai 	安排	c=18 d=0.231078 t=125272
an quan 	安全	c=16 d=0.379083 t=125272
an quan gan 	安全感	c=1 d=8.46631e-101 t=125272
an quan wei shen 	安全爲什	c=1 d=5.99523e-217 t=125272
an quan wei sheng 	安全衛生	c=1 d=6.02528e-217 t=125272
an shi 	暗示	c=2 d=1.09473e-06 t=125272
an tian 	按天	c=1 d=8.47874e-177 t=125272
an wei 	安慰	c=5 d=3.43184e-07 t=125272
an wen 	安穩	c=1 d=1.29584e-137 t=125272
an yi 	安逸	c=4 d=8.01026e-91 t=125272
an zhang 	安張	c=1 d=4.85024e-253 t=125272
an zhao 	安照	c=1 d=1.62912e-212 t=125272
an zhao 	按照	c=6 d=0.628135 t=125272
an zhou 	安周	c=1 d=2.43863e-105 t=125272
an zhuang 	安裝	c=41 d=0.869079 t=125272
an zhuang huang hou 	安裝皇后	c=1 d=4.38868e-253 t=125272
an zhuo 	案桌	c=1 d=1.48854e-121 t=125272
ang cang 	昂藏	c=0 d=5.65357e-116 t=125272
ang song 	昂送	c=1 d=6.8744e-185 t=125272
ang song liang de fen ju su du fa 	昂送兩地分居速讀法	c=1 d=6.89404e-184 t=125272
ang zhu 	昂住	c=1 d=5.10185e-201 t=125272
ao 	奧	c=1 d=9.59288e-12 t=125272
ao 	熬	c=6 d=7.81298e-68 t=125272
ao jiao 	傲驕	c=1 d=6.02895e-136 t=125272
ao shi 	傲視	c=0 d=4.99743e-194 t=125272
ao shi li ke 	奧士力克	c=0 d=1.64566e-126 t=125272
ao shi li ke diao jie fa 	奧士力克調節閥	c=1 d=1.65391e-125 t=125272
ao suo ka 	熬所卡	c=1 d=1.1664e-193 t=125272
ao tang 	熬湯	c=3 d=5.88856e-182 t=125272
ao ti 	奧體	c=6 d=4.09513e-27 t=125272
ao ti 	澳體	c=2 d=3.48217e-90 t=125272
ao wu 	傲物	c=0 d=7.04147e-228 t=125272
ao ye 	熬夜	c=4 d=5.06818e-108 t=125272
ao you 	傲遊	c=5 d=1.89572e-54 t=125272
ao yun 	奧運	c=2 d=1.09584e-176 t=125272
ba 	八	c=3 d=2.52677e-103 t=125272
ba 	吧	c=849 d=2.07608 t=125272
ba 	壩	c=7 d=1.45807e-244 t=125272
ba 	把	c=346 d=3.37725 t=125272
ba 	爸	c=4 d=6.04019e-11 t=125272
ba ba 	巴巴	c=2 d=3.24984e-13 t=125272
ba ba 	爸爸	c=5 d=3.74039e-108 t=125272
ba dao 	霸道	c=1 d=7.34053e-187 t=125272
ba du 	八度	c=2 d=9.29105e-77 t=125272
ba gua 	八卦	c=2 d=3.05905e-154 t=125272
ba hao 	八號	c=1 d=1.19126e-147 t=125272
ba jie 	八戒	c=1 d=2.34653e-152 t=125272
ba jie 	巴結	c=1 d=4.15489e-21 t=125272
ba lang shan 	巴郎山	c=1 d=2.40142e-130 t=125272
ba li 	巴黎	c=1 d=1.02563e-33 t=125272
ba luo ke 	巴洛克	c=2 d=4.85826e-08 t=125272
ba ma 	爸媽	c=2 d=2.65252e-06 t=125272
ba ni 	把你	c=2 d=1.99216e-79 t=125272
ba pan cun 	吧盤存	c=1 d=8.48307e-183 t=125272
ba po 	八婆	c=1 d=4.74303e-196 t=125272
ba qi 	霸氣	c=2 d=7.93832e-20 t=125272
ba qu 	八區	c=1 d=1.83264e-64 t=125272
ba se 	吧色	c=1 d=1.2323e-75 t=125272
ba tian 	八天	c=1 d=4.7083e-139 t=125272
ba wang 	霸王	c=1 d=0.117655 t=125272
ba wo 	把握	c=1 d=1.69877e-87 t=125272
ba yi 	八一	c=3 d=1.10285e-181 t=125272
ba yi lu 	八一錄	c=3 d=1.16333e-189 t=125272
ba yue 	八月	c=6 d=3.12603e-56 t=125272
bai 	拜	c=1 d=1.70525e-73 t=125272
bai 	敗	c=2 d=4.15207e-13 t=125272
bai 	白	c=17 d=9.63768e-08 t=125272
bai 	百	c=3 d=5.87529e-97 t=125272
bai bai 	拜拜	c=2 d=1.8542e-118 t=125272
bai bai 	白白	c=0 d=1.87284e-118 t=125272
bai bai jing jing 	拜拜晶晶	c=1 d=1.8635e-117 t=125272
bai bai jing jing 	白白淨淨	c=1 d=1.88223e-117 t=125272
bai cai 	白菜	c=1 d=1.21555e-176 t=125272
bai dao 	拜到	c=1 d=2.9448e-118 t=125272
bai di 	白底	c=1 d=3.55869e-81 t=125272
bai dian 	白點	c=2 d=1.77946e-16 t=125272
bai du 	百度	c=44 d=0.120633 t=125272
bai du lian meng 	百度聯盟	c=1 d=2.22572e-236 t=125272
bai fa 	白髮	c=1 d=5.78959e-130 t=125272
bai fei 	白費	c=1 d=1.14054e-47 t=125272
bai fen 	百分	c=1 d=5.8915e-100 t=125272
bai fen bi 	百分比	c=3 d=3.13787e-96 t=125272
bai fu mei 	白富美	c=3 d=6.30083e-08 t=125272
bai gan 	百感	c=1 d=2.18305e-126 t=125272
bai hu 	白虎	c=1 d=1.93572e-35 t=125272
bai jia 	敗家	c=2 d=3.98926e-13 t=125272
bai ke 	伯克	c=2 d=5.56294e-35 t=125272
bai ke 	百科	c=48 d=7.72561e-05 t=125272
bai lai 	擺來	c=1 d=1.69895e-147 t=125272
bai lu 	白露	c=0 d=1.81033e-101 t=125272
bai lu yuan 	白露圓	c=1 d=1.8194e-100 t=125272
bai nian 	百年	c=1 d=1.33891e-198 t=125272
bai pao 	白跑	c=1 d=1.76371e-146 t=125272
bai ren 	白人	c=1 d=1.28103e-237 t=125272
bai ren 	百人	c=0 d=9.40301e-160 t=125272
bai ren zhan 	百人斬	c=3 d=1.54381e-50 t=125272
bai se 	白色	c=8 d=9.52505e-05 t=125272
bai tian 	白天	c=3 d=1.62893e-05 t=125272
bai tuo 	拜託	c=1 d=1.4446e-239 t=125272
bai tuo 	擺脫	c=1 d=1.4374e-239 t=125272
bai wan 	百萬	c=1 d=6.55621e-93 t=125272
bai xue 	白雪	c=1 d=4.21584e-104 t=125272
bai yang 	白羊	c=1 d=1.34561e-198 t=125272
bai yin 	白銀	c=8 d=2.49467e-70 t=125272
bai yin shi 	白銀市	c=1 d=7.26379e-181 t=125272
bai zheng 	擺正	c=1 d=4.66036e-195 t=125272
bai zhi 	白紙	c=1 d=1.77261e-117 t=125272
ban 	伴	c=4 d=4.02075e-76 t=125272
ban 	半	c=27 d=0.000839412 t=125272
ban 	搬	c=18 d=0.000311223 t=125272
ban 	板	c=0 d=2.9077e-68 t=125272
ban 	版	c=14 d=2.04384e-08 t=125272
ban 	班	c=10 d=5.40917e-07 t=125272
ban 	般	c=1 d=2.69914e-152 t=125272
ban 	辦	c=75 d=0.000186888 t=125272
ban ban 	般般	c=0 d=3.70707e-92 t=125272
ban ben 	版本	c=39 d=6.5669e-24 t=125272
ban ben hao 	版本號	c=2 d=4.08859e-67 t=125272
ban bu 	頒佈	c=0 d=1.73658e-141 t=125272
ban bu dong 	頒佈洞	c=1 d=1.74527e-140 t=125272
ban cun 	板寸	c=5 d=5.4309e-128 t=125272
ban dao 	搬到	c=4 d=0.130137 t=125272
ban dong xi 	辦東西	c=1 d=4.59083e-224 t=125272
ban fa 	辦法	c=21 d=3.24763e-05 t=125272
ban ge 	半個	c=18 d=0.043528 t=125272
ban gong 	辦公	c=4 d=1.2328e-21 t=125272
ban gong shi 	辦公室	c=4 d=0.000169951 t=125272
ban gong si 	辦公司	c=1 d=3.12426e-255 t=125272
ban guo lai 	辦過來	c=1 d=8.22422e-142 t=125272
ban guo qu 	辦過去	c=1 d=1.16878e-70 t=125272
ban hao 	辦好	c=1 d=4.34983e-31 t=125272
ban hui 	扳回	c=1 d=4.12173e-250 t=125272
ban hui lai 	搬回來	c=2 d=8.53402e-224 t=125272
ban hun li 	辦婚禮	c=1 d=6.32021e-191 t=125272
ban jia 	半價	c=1 d=2.71776e-174 t=125272
ban jia 	搬家	c=33 d=0.883397 t=125272
ban jin 	半斤	c=1 d=5.47812e-244 t=125272
ban ka 	板卡	c=2 d=1.14469e-31 t=125272
ban ka 	辦卡	c=1 d=6.37675e-90 t=125272
ban kuai 	板塊	c=1 d=1.15043e-31 t=125272
ban lan gen 	板藍根	c=2 d=7.01912e-35 t=125272
ban li 	辦理	c=35 d=8.99224e-16 t=125272
ban luo 	半裸	c=1 d=3.25796e-248 t=125272
ban ma 	斑馬	c=1 d=1.36593e-51 t=125272
ban na 	版納	c=1 d=6.62732e-161 t=125272
ban nian 	半年	c=9 d=0.000125275 t=125272
ban niang 	伴娘	c=3 d=3.88319e-35 t=125272
ban ping 	半瓶	c=1 d=6.42572e-33 t=125272
ban qu 	搬去	c=1 d=3.96012e-250 t=125272
ban quan 	版權	c=2 d=3.58811e-119 t=125272
ban shi 	辦事	c=0 d=8.85607e-249 t=125272
ban shi bu li 	辦事不利	c=1 d=8.90046e-248 t=125272
ban shui ban xing 	半睡半醒	c=1 d=3.32502e-223 t=125272
ban sui 	伴隨	c=1 d=8.78964e-42 t=125272
ban tian 	半天	c=9 d=2.41842e-142 t=125272
ban tou ming 	半透明	c=5 d=1.58249e-34 t=125272
ban tui ban jiu 	半推半就	c=1 d=4.91131e-165 t=125272
ban wan 	搬完	c=5 d=9.33234e-07 t=125272
ban wan 	辦完	c=1 d=4.06063e-192 t=125272
ban xi ban you 	半喜半憂	c=1 d=4.83968e-198 t=125272
ban xian 	半仙	c=1 d=1.16494e-237 t=125272
ban xue 	辦學	c=1 d=8.35054e-233 t=125272
ban yan 	扮演	c=1 d=1.20388e-124 t=125272
ban ye 	半夜	c=4 d=4.29356e-113 t=125272
ban yue 	半月	c=1 d=2.58582e-118 t=125272
ban zhang 	班長	c=1 d=1 t=125222
ban zheng 	辦證	c=1 d=4.63712e-195 t=125272
ban zi 	班子	c=1 d=8.50613e-68 t=125272
ban zou 	伴奏	c=1 d=1.76205e-223 t=125272
ban zou 	搬走	c=7 d=0.223282 t=125272
bang 	幫	c=53 d=0.340331 t=125272
bang 	棒	c=6 d=3.67075e-99 t=125272
bang 	磅	c=3 d=3.50277e-87 t=125272
bang 	綁	c=41 d=9.68207e-62 t=125272
bang chui 	棒槌	c=0 d=5.37182e-191 t=125272
bang chui dao 	棒槌到	c=1 d=5.39875e-190 t=125272
bang ding 	綁定	c=22 d=0.00149403 t=125272
bang fa 	棒法	c=1 d=1.21548e-31 t=125272
bang jia 	綁架	c=2 d=2.06318e-42 t=125272
bang mang 	幫忙	c=5 d=7.4107e-05 t=125272
bang wo 	幫我	c=1 d=3.18911e-232 t=125272
bang wo ding 	幫我定	c=1 d=1.60869e-240 t=125272
bang zhu 	幫助	c=9 d=5.09886e-80 t=125272
bao 	包	c=49 d=0.447088 t=125272
bao 	報	c=10 d=0.449329 t=125272
bao 	寶	c=1 d=5.25101e-253 t=125272
bao 	抱	c=6 d=1.93709e-06 t=125272
bao 	爆	c=13 d=0.686818 t=125272
bao 	飽	c=1 d=1.93112e-154 t=125272
bao bao 	包包	c=2 d=2.76879e-187 t=125272
bao bao 	寶寶	c=2 d=4.84576e-154 t=125272
bao bao 	抱抱	c=2 d=1.96987e-123 t=125272
bao bei 	報備	c=1 d=5.58802e-213 t=125272
bao bei 	寶貝	c=2 d=3.42453e-217 t=125272
bao chi 	保持	c=9 d=1.54575e-06 t=125272
bao chou 	報酬	c=1 d=0.394554 t=125272
bao cun 	保存	c=14 d=1.90826e-14 t=125272
bao cuo 	報錯	c=21 d=0.126441 t=125272
bao da 	報答	c=1 d=9.33513e-162 t=125272
bao dao 	寶島	c=1 d=8.05425e-161 t=125272
bao dian 	寶典	c=1 d=8.42498e-128 t=125272
bao fa 	爆發	c=1 d=4.1031e-138 t=125272
bao gao 	報告	c=2 d=1.63772e-152 t=125272
bao guang 	曝光	c=2 d=5.19058e-131 t=125272
bao guang lv 	曝光率	c=1 d=1.05825e-254 t=125272
bao han 	包含	c=3 d=3.23162e-55 t=125272
bao hao si 	包豪斯	c=1 d=2.23343e-71 t=125272
bao hu 	保護	c=5 d=0.000843128 t=125272
bao jia 	報價	c=3 d=1.58122 t=125272
bao jian 	寶劍	c=1 d=8.36301e-133 t=125272
bao jiao zi 	包餃子	c=1 d=3.3012e-21 t=125272
bao ju 	保舉	c=2 d=1.90956e-22 t=125272
bao kao 	報考	c=1 d=0.0502874 t=125272
bao ke 	薄殼	c=1 d=8.25868e-103 t=125272
bao kuo 	包括	c=2 d=4.25518e-88 t=125272
bao li 	暴力	c=3 d=2.87571e-74 t=125272
bao liao 	爆料	c=5 d=0.0564161 t=125272
bao liu 	保留	c=3 d=1.1766e-119 t=125272
bao lu 	暴露	c=5 d=3.50582e-52 t=125272
bao mi 	保密	c=2 d=1.98797e-113 t=125272
bao mi hua 	爆米花	c=1 d=1.94669e-72 t=125272
bao ming 	報名	c=3 d=4.14911e-34 t=125272
bao ming fei 	報名費	c=1 d=3.4713e-112 t=125272
bao mu 	保姆	c=1 d=3.53289e-113 t=125272
bao nian 	包年	c=1 d=4.91617e-206 t=125272
bao niang 	包娘	c=2 d=9.71046e-206 t=125272
bao nuan 	保暖	c=2 d=3.45973e-14 t=125272
bao qian 	抱歉	c=4 d=1.97168e-98 t=125272
bao rong 	包容	c=1 d=1.00461e-201 t=125272
bao tu 	暴徒	c=1 d=2.92671e-75 t=125272
bao tuan 	報團	c=2 d=3.71728e-171 t=125272
bao tuan 	抱團	c=1 d=1.61939e-171 t=125272
bao wan 	包玩	c=1 d=2.38521e-21 t=125272
bao wen 	保溫	c=2 d=1.43779e-133 t=125272
bao wen ding 	保溫頂	c=1 d=8.21862e-134 t=125272
bao wen ding 	包穩定	c=1 d=8.13684e-134 t=125272
bao xi bao 	包細胞	c=1 d=1.06952e-26 t=125272
bao xian 	保險	c=1 d=1.22203e-06 t=125272
bao xiao 	報銷	c=7 d=4.93672e-20 t=125272
bao xiu 	保修	c=2 d=2.41295e-10 t=125272
bao xiu chi 	保修吃	c=1 d=3.84996e-36 t=125272
bao xiu qi 	保修期	c=2 d=6.55601e-122 t=125272
bao yang 	保養	c=1 d=7.35048e-56 t=125272
bao yang 	包養	c=13 d=5.03217e-10 t=125272
bao yang 	褒揚	c=1 d=1.66345e-222 t=125272
bao you 	包郵	c=2 d=5.02258e-21 t=125272
bao yu 	暴雨	c=1 d=8.3784e-184 t=125272
bao yuan 	抱怨	c=1 d=5.29738e-26 t=125272
bao zhe 	抱着	c=9 d=1.82004e-06 t=125272
bao zheng 	保證	c=2 d=1.09925e-25 t=125272
bao zhi qi 	保質期	c=2 d=3.9136e-23 t=125272
bao zhu 	抱住	c=1 d=1.2727e-219 t=125272
bao zhuang 	包裝	c=1 d=1.20441e-41 t=125272
bei 	倍	c=1 d=3.45668e-33 t=125272
bei 	北	c=7 d=2.59339e-123 t=125272
bei 	唄	c=119 d=0.451581 t=125272
bei 	悖	c=1 d=2.3922e-26 t=125272
bei 	背	c=2 d=4.45952e-118 t=125272
bei 	被	c=135 d=0.834414 t=125272
bei an 	備案	c=1 d=5.31759e-12 t=125272
bei ao wu fu 	被傲物服	c=1 d=7.07676e-227 t=125272
bei bao 	背包	c=6 d=4.71388e-06 t=125272
bei bian 	北邊	c=4 d=1.84194e-39 t=125272
bei bu 	背部	c=1 d=3.82099e-06 t=125272
bei can 	悲慘	c=2 d=8.68091e-72 t=125272
bei cui 	悲催	c=3 d=0.000338834 t=125272
bei da 	北大	c=4 d=5.69098e-75 t=125272
bei dao 	被盜	c=1 d=1 t=123139
bei dong 	被動	c=2 d=2.16979e-65 t=125272
bei er 	貝爾	c=2 d=4.17931e-179 t=125272
bei fang 	北方	c=3 d=7.83214e-21 t=125272
bei fang ren 	北方人	c=1 d=3.64839e-21 t=125272
bei fen 	備份	c=13 d=0.0165727 t=125272
bei ge 	悲歌	c=1 d=4.43728e-118 t=125272
bei hai 	被害	c=1 d=2.47135e-56 t=125272
bei ji 	北極	c=0 d=3.24358e-197 t=125272
bei ji guang 	北極光	c=1 d=1.91699e-97 t=125272
bei ji ni ge 	北極你個	c=1 d=3.25984e-196 t=125272
bei jin 	被禁	c=2 d=3.6555e-132 t=125272
bei jing 	北京	c=296 d=1.40501 t=125272
bei jing 	背景	c=9 d=0.0181334 t=125272
bei jing shi 	北京市	c=1 d=2.3743e-114 t=125272
bei jing tu 	背景圖	c=3 d=7.49758e-40 t=125272
bei ju 	悲劇	c=15 d=0.001738 t=125272
bei ju 	杯具	c=2 d=0.0655462 t=125272
bei ju 	被拒	c=2 d=0.474734 t=125272
bei lun si 	貝倫斯	c=1 d=4.61458e-79 t=125272
bei mian 	背面	c=1 d=8.29557e-126 t=125272
bei ni 	被你	c=1 d=1.59289e-124 t=125272
bei nve 	被虐	c=1 d=2.71747e-114 t=125272
bei ou 	北歐	c=0 d=8.67711e-156 t=125272
bei qi 	背起	c=1 d=7.89873e-20 t=125272
bei qing 	悲情	c=1 d=2.95834e-25 t=125272
bei rou 	唄肉	c=2 d=8.28032e-75 t=125272
bei rou 	被肉	c=1 d=1.28338e-141 t=125272
bei ru 	被褥	c=1 d=2.09995e-140 t=125272
bei shan 	被刪	c=1 d=2.89556e-243 t=125272
bei shang 	北上	c=2 d=4.4279e-05 t=125272
bei shang 	背上	c=4 d=2.69766e-155 t=125272
bei tai 	備胎	c=2 d=5.64376e-124 t=125272
bei tao 	被套	c=1 d=2.11817e-124 t=125272
bei tu cheng 	北土城	c=4 d=3.95428e-27 t=125272
bei wang lu 	備忘錄	c=1 d=8.93899e-240 t=125272
bei wo 	被窩	c=1 d=8.82711e-92 t=125272
bei xue 	碑學	c=1 d=8.30889e-233 t=125272
bei ying 	北影	c=1 d=6.31121e-233 t=125272
bei zhu 	備註	c=1 d=6.32668e-203 t=125272
bei zi 	杯子	c=3 d=7.09479e-110 t=125272
bei zi 	被子	c=3 d=6.22309e-09 t=125272
ben 	本	c=30 d=2.85323e-10 t=125272
ben bu 	本部	c=1 d=1.38282e-166 t=125272
ben di 	本地	c=7 d=0.00718231 t=125272
ben guo 	本國	c=2 d=5.21456e-31 t=125272
ben ji 	本機	c=0 d=1.39644e-194 t=125272
ben ji ben 	本機本	c=1 d=1.40344e-193 t=125272
ben ke 	本科	c=1 d=2.21574e-95 t=125272
ben ku 	本哭	c=1 d=2.20468e-95 t=125272
ben lai 	本來	c=32 d=0.564486 t=125272
ben ming 	本命	c=1 d=2.26697e-158 t=125272
ben ming nian 	本命年	c=4 d=2.16043e-33 t=125272
ben nian 	本年	c=2 d=1.34516e-245 t=125272
ben ren 	本人	c=3 d=0.0263839 t=125272
ben shen 	本身	c=2 d=4.12762e-208 t=125272
ben shu 	本書	c=2 d=2.4165e-225 t=125272
ben tiao 	本條	c=1 d=1.96979e-05 t=125272
ben yue 	本月	c=1 d=9.59203e-246 t=125272
ben zhan 	本站	c=1 d=1.07583e-07 t=125272
ben zhou 	本週	c=7 d=1.69541e-05 t=125272
ben zi 	本子	c=4 d=1.6013e-39 t=125272
beng 	崩	c=3 d=2.45471e-81 t=125272
beng kui 	崩潰	c=1 d=2.24617e-226 t=125272
beng pan 	崩盤	c=1 d=1.63349e-126 t=125272
beng ta 	崩塌	c=1 d=3.67549e-196 t=125272
bi 	必	c=3 d=3.45243e-121 t=125272
bi 	比	c=89 d=0.00220175 t=125272
bi 	筆	c=4 d=7.29299e-12 t=125272
bi 	逼	c=7 d=8.06104e-24 t=125272
bi a 	比啊	c=1 d=9.01464e-105 t=125272
bi bi 	筆筆	c=2 d=1.13792e-218 t=125272
bi bian 	比變	c=1 d=9.02874e-93 t=125272
bi ci 	彼此	c=1 d=1.49056e-137 t=125272
bi dai 	比帶	c=1 d=3.97658e-240 t=125272
bi dian 	比點	c=1 d=0.000270565 t=125272
bi er 	比爾	c=1 d=2.30702e-70 t=125272
bi fen 	比分	c=0 d=1.76504e-97 t=125272
bi fen ba 	比分吧	c=1 d=1.77388e-96 t=125272
bi guan 	閉關	c=1 d=6.49629e-132 t=125272
bi guo 	比過	c=1 d=1.48137e-123 t=125272
bi hun 	逼婚	c=1 d=2.71967e-06 t=125272
bi ji 	筆記	c=7 d=0.945496 t=125272
bi ji bei er 	筆記貝爾	c=1 d=4.20026e-178 t=125272
bi ji ben 	筆記本	c=10 d=0.000620491 t=125272
bi ji zhe 	筆記這	c=1 d=2.3067e-39 t=125272
bi jia 	比價	c=3 d=1.53163e-192 t=125272
bi jiao 	比較	c=92 d=0.467666 t=125272
bi jiao hao 	比較好	c=1 d=9.01858e-21 t=125272
bi jiao qi guai 	比較奇怪	c=1 d=1.87661e-170 t=125272
bi jiao wan 	比較晚	c=1 d=1.30811e-189 t=125272
bi li 	比例	c=8 d=6.71829e-55 t=125272
bi liang 	鼻樑	c=2 d=1.5633e-221 t=125272
bi liao 	比聊	c=1 d=6.33288e-97 t=125272
bi lie 	鄙劣	c=6 d=6.63045e-96 t=125272
bi mian 	避免	c=2 d=9.074e-93 t=125272
bi ni 	比你	c=3 d=2.24906e-06 t=125272
bi qi 	比起	c=2 d=2.74169e-42 t=125272
bi qi 	閉氣	c=10 d=2.72801e-42 t=125272
bi qi 	閉起	c=1 d=2.82233e-177 t=125272
bi ran 	必然	c=11 d=8.71126e-05 t=125272
bi ran a 	必然啊	c=1 d=4.53757e-175 t=125272
bi ru 	比如	c=16 d=5.2502e-09 t=125272
bi sai 	比賽	c=2 d=6.11239e-180 t=125272
bi sheng ke 	必勝客	c=2 d=3.38387e-101 t=125272
bi shi 	筆試	c=1 d=2.13763e-114 t=125272
bi shi 	鄙視	c=11 d=1.22998e-56 t=125272
bi shui 	避稅	c=2 d=1.35401e-94 t=125272
bi ti 	鼻涕	c=3 d=3.89793e-27 t=125272
